date,ticker,open,high,low,close,volume
2026-01-15,MSFT,393.71,395.03,389.69,391.39,25806552
2026-01-15,SPY,559.57,560.5,552.85,553.2,25107702
2026-01-16,AAPL,195.99,196.97,194.65,195.28,16659912
2026-01-16,AMZN,198.78,199.17,195.43,195.6,34968759
2026-01-16,GOOG,165.48,165.51,161.66,162.06,16527569
2026-01-16,MSFT,391.39,391.96,387.8,388.67,36328273
2026-01-16,SPY,553.2,554.94,538.98,542.18,34773224
2026-01-19,AAPL,195.28,195.67,192.18,192.18,27539090
2026-01-19,AMZN,195.6,195.92,192.61,193.14,52715188
2026-01-19,GOOG,162.06,164.58,161.96,164.36,58697621
2026-01-19,MSFT,388.67,389.19,386.38,386.93,16839087
2026-01-19,SPY,542.18,547.45,541.93,546.5,25831172
2026-01-20,AAPL,192.18,192.42,191.33,191.53,25892487
2026-01-20,AMZN,193.14,194.3,191.93,192.49,40677438
2026-01-20,GOOG,164.36,164.67,164.13,164.63,52301196
2026-01-20,MSFT,386.93,387.58,381.62,383.27,31392143
2026-01-20,SPY,546.5,546.86,540.35,540.8,54911620
2026-01-21,AAPL,191.53,191.97,187.47,187.91,47769735
2026-01-21,AMZN,192.49,193.93,192.23,193.81,45443102
2026-01-21,GOOG,164.63,167.83,164.38,167.12,20425509
2026-01-21,MSFT,383.27,383.39,379.02,379.07,50973467
2026-01-21,SPY,540.8,542.97,538.61,540.09,51717612
2026-01-22,AAPL,187.91,189.22,187.41,188.43,52588612
2026-01-22,AMZN,193.81,194.76,191.7,192.14,44603038
2026-01-22,GOOG,167.12,167.76,165.65,165.78,29188065
2026-01-22,MSFT,379.07,383.82,378.23,383.11,24420719
2026-01-22,SPY,540.09,540.36,534.85,535.31,48976886
2026-01-23,AAPL,188.43,189.4,187.34,187.84,15746452
2026-01-23,AMZN,192.14,192.72,191.5,191.65,50207346
2026-01-23,GOOG,165.78,166.1,165.14,165.66,43165111
2026-01-23,MSFT,383.11,387.78,382.75,385.03,31601113
2026-01-23,SPY,535.31,537.26,527.64,527.86,47782080
2026-01-26,AAPL,187.84,188.53,187.34,187.64,32403090
2026-01-26,AMZN,191.65,193.22,190.68,193.01,45041702
2026-01-26,GOOG,165.66,165.95,163.36,163.71,50945245
2026-01-26,MSFT,385.03,391.46,385.0,390.3,38945106
2026-01-26,SPY,527.86,531.46,526.0,530.41,22984294
2026-01-27,AAPL,187.64,187.86,185.91,186.41,20106308
2026-01-27,AMZN,193.01,195.92,192.65,195.5,34601249
2026-01-27,GOOG,163.71,164.31,161.14,161.47,33086891
2026-01-27,MSFT,390.3,394.54,387.43,392.75,25911172
2026-01-27,SPY,530.41,534.42,530.36,533.9,57182462
2026-01-28,AAPL,186.41,186.72,183.21,183.79,39984036
2026-01-28,AMZN,195.5,200.24,194.75,199.63,46296024
2026-01-28,GOOG,161.47,164.86,160.66,164.7,48191203
2026-01-28,MSFT,392.75,393.73,391.5,393.68,29737380
2026-01-28,SPY,533.9,534.54,530.66,531.7,51800339
2026-01-29,AAPL,183.79,183.96,182.51,182.62,55374709
2026-01-29,AMZN,199.63,200.56,196.36,196.54,31796330
2026-01-29,GOOG,164.7,164.85,160.68,161.07,27925754
2026-01-29,MSFT,393.68,395.28,392.6,395.02,45559604
2026-01-29,SPY,531.7,531.75,518.61,520.95,52831636
2026-01-30,AAPL,182.62,183.31,181.91,182.66,55369961
2026-01-30,AMZN,196.54,197.51,195.9,197.09,35857231
2026-01-30,GOOG,161.07,161.65,156.23,156.73,57748253
2026-01-30,MSFT,395.02,395.03,387.9,390.68,48544776
2026-01-30,SPY,520.95,521.43,516.28,518.93,41565646
2026-02-02,AAPL,182.66,183.0,179.76,180.42,18786298
2026-02-02,AMZN,197.09,201.06,196.43,201.03,36563184
2026-02-02,GOOG,156.73,159.98,156.35,159.9,54560323
2026-02-02,MSFT,390.68,397.5,389.9,397.04,31338703
2026-02-02,SPY,518.93,523.78,518.81,520.82,40425989
2026-02-03,AAPL,180.42,181.54,180.33,181.08,46135283
2026-02-03,AMZN,201.03,201.95,198.26,199.13,39012114
2026-02-03,GOOG,159.9,163.46,159.34,163.13,38070982
2026-02-03,MSFT,397.04,398.16,390.88,390.91,25675205
2026-02-03,SPY,520.82,521.99,514.32,514.91,43633110
2026-02-04,AAPL,181.08,181.48,175.45,175.96,25676208
2026-02-04,AMZN,199.13,199.53,192.56,192.89,47315538
2026-02-04,GOOG,163.13,164.87,162.84,164.62,23389721
2026-02-04,MSFT,390.91,391.45,389.86,390.59,22230661
2026-02-04,SPY,514.91,516.89,514.18,515.93,35770086
2026-02-05,AAPL,175.96,177.56,175.73,176.89,40573887
2026-02-05,AMZN,192.89,193.12,191.76,191.87,19563937
2026-02-05,GOOG,164.62,164.7,160.81,160.99,49120731
2026-02-05,MSFT,390.59,391.23,384.63,387.54,59207037
2026-02-05,SPY,515.93,516.44,514.61,516.12,51003193
2026-02-06,AAPL,176.89,179.83,176.48,179.1,25979533
2026-02-06,AMZN,191.87,192.37,189.77,190.33,28828048
2026-02-06,GOOG,160.99,161.15,159.65,159.83,25099825
2026-02-06,MSFT,387.54,391.39,387.44,390.93,53947820
2026-02-06,SPY,516.12,519.18,513.95,518.77,47988208
2026-02-09,AAPL,179.1,179.22,178.03,178.67,37618669
2026-02-09,AMZN,190.33,190.56,186.07,186.92,27268080
2026-02-09,GOOG,159.83,163.32,159.43,162.86,54485738
2026-02-09,MSFT,390.93,391.55,387.6,388.22,40054330
2026-02-09,SPY,518.77,521.39,518.08,519.53,30992305
2026-02-10,AAPL,178.67,181.34,178.66,180.58,47510345
2026-02-10,AMZN,186.92,189.89,186.83,189.81,45650303
2026-02-10,GOOG,162.86,165.79,162.33,165.52,39788581
2026-02-10,MSFT,388.22,389.31,385.65,386.54,23416968
2026-02-10,SPY,519.53,519.96,513.49,515.74,15235332
2026-02-11,AAPL,180.58,180.66,179.83,179.9,58499466
2026-02-11,AMZN,189.81,193.55,189.72,193.42,26545325
2026-02-11,GOOG,165.52,166.14,159.32,159.74,37314408
2026-02-11,MSFT,386.54,391.3,386.01,388.11,42477901
2026-02-11,SPY,515.74,522.16,514.74,520.94,58113306
2026-02-12,AAPL,179.9,181.26,179.48,181.01,32329397
2026-02-12,AMZN,193.42,195.8,193.38,194.98,39760194
2026-02-12,GOOG,159.74,160.18,159.23,159.85,18425888
2026-02-12,MSFT,388.11,389.75,387.8,388.43,36651304
2026-02-12,SPY,520.94,523.2,518.81,520.54,21699962
2026-02-13,AAPL,181.01,181.29,177.53,177.91,46321340
2026-02-13,AMZN,194.98,195.06,193.88,194.58,54789290
2026-02-13,GOOG,159.85,160.26,153.1,153.66,30651414
2026-02-13,MSFT,388.43,393.73,387.72,393.25,45667622
2026-02-13,SPY,520.54,521.81,519.95,520.68,59835045
2026-02-16,AAPL,177.91,181.5,177.48,181.37,59552423
2026-02-16,AMZN,194.58,194.87,192.63,193.38,33496281
2026-02-16,GOOG,153.66,155.0,153.44,154.24,54538349
2026-02-16,MSFT,393.25,401.99,390.38,401.12,33532841
2026-02-16,SPY,520.68,521.96,513.81,517.06,47493192
2026-02-17,AAPL,181.37,183.77,180.9,183.74,46611783
2026-02-17,AMZN,193.38,193.82,192.93,193.36,27366271
2026-02-17,GOOG,154.24,155.35,154.05,155.16,52665599
2026-02-17,MSFT,401.12,409.47,400.53,409.36,52882294
2026-02-17,SPY,517.06,517.4,514.04,515.48,32618656
2026-02-18,AAPL,183.74,185.05,183.41,184.55,51455102
2026-02-18,AMZN,193.36,195.15,192.88,194.09,19299089
2026-02-18,GOOG,155.16,157.7,154.44,157.22,48872248
2026-02-18,MSFT,409.36,415.79,408.64,415.05,22364517
2026-02-18,SPY,515.48,518.08,510.94,512.09,15144821
2026-02-19,AAPL,184.55,186.93,183.76,186.44,44248376
2026-02-19,AMZN,194.09,203.38,193.79,202.63,53825868
2026-02-19,GOOG,157.22,157.62,156.23,156.55,51808516
2026-02-19,MSFT,415.05,421.9,412.3,420.6,54474024
2026-02-19,SPY,512.09,514.43,509.7,511.64,50738879
2026-02-20,AAPL,186.44,186.57,184.13,184.23,30209782
2026-02-20,AMZN,202.63,203.37,199.25,200.23,39601383
2026-02-20,GOOG,156.55,159.61,156.55,159.5,27916715
2026-02-20,MSFT,420.6,423.63,418.96,423.31,31962499
2026-02-20,SPY,511.64,519.18,510.35,518.9,36643780
2026-02-23,AAPL,184.23,185.49,184.21,185.02,39419008
2026-02-23,AMZN,200.23,206.53,200.04,205.49,21139788
2026-02-23,GOOG,159.5,159.87,159.14,159.83,39299342
2026-02-23,MSFT,423.31,438.33,421.3,437.22,55480855
2026-02-23,SPY,518.9,519.78,513.18,513.46,41099270
2026-02-24,AAPL,185.02,185.25,180.98,181.02,16680668
2026-02-24,AMZN,205.49,206.42,204.31,205.54,47291899
2026-02-24,GOOG,159.83,159.96,157.41,157.6,39356996
2026-02-24,MSFT,437.22,438.39,434.39,434.52,43090709
2026-02-24,SPY,513.46,516.33,504.22,507.09,42156944
2026-02-25,AAPL,181.02,181.2,175.73,176.56,24711946
2026-02-25,AMZN,205.54,206.38,204.54,206.05,18573871
2026-02-25,GOOG,157.6,160.02,157.52,159.33,18052667
2026-02-25,MSFT,434.52,435.26,431.86,433.0,50731133
2026-02-25,SPY,507.09,514.89,506.19,513.31,27141932
2026-02-26,AAPL,176.56,178.56,175.58,177.28,43684345
2026-02-26,AMZN,206.05,209.48,205.61,208.79,30974833
2026-02-26,GOOG,159.33,160.29,159.25,160.12,41197670
2026-02-26,MSFT,433.0,434.25,428.52,428.62,50486874
2026-02-26,SPY,513.31,513.33,510.69,512.71,18467622
2026-02-27,AAPL,177.28,179.04,176.73,178.8,27187451
2026-02-27,AMZN,208.79,208.81,207.51,207.9,39300536
2026-02-27,GOOG,160.12,160.18,159.52,159.69,16106411
2026-02-27,MSFT,428.62,429.67,414.72,416.6,54454453
2026-02-27,SPY,512.71,512.97,509.53,510.22,50320363
2026-03-02,AAPL,178.8,179.22,176.94,177.82,22798244
2026-03-02,AMZN,207.9,208.19,204.77,206.08,29595018
2026-03-02,GOOG,159.69,159.75,156.01,156.97,49668333
2026-03-02,MSFT,416.6,418.62,416.05,417.01,21746284
2026-03-02,SPY,510.22,516.19,509.18,514.72,38277107
2026-03-03,AAPL,177.82,179.3,177.32,178.43,27597025
2026-03-03,AMZN,206.08,211.65,205.92,210.42,17706405
2026-03-03,GOOG,156.97,157.16,151.14,151.7,50766429
2026-03-03,MSFT,417.01,420.82,415.27,419.6,39422599
2026-03-03,SPY,514.72,516.49,512.19,512.49,29768673
2026-03-04,AAPL,178.43,180.85,177.55,180.65,42527433
2026-03-04,AMZN,210.42,218.33,210.02,217.68,39112245
2026-03-04,GOOG,151.7,153.15,151.1,152.63,27296678
2026-03-04,MSFT,419.6,426.73,418.95,425.37,55880275
2026-03-04,SPY,512.49,521.55,512.28,520.23,24927537
2026-03-05,AAPL,180.65,181.34,176.7,176.82,19402537
2026-03-05,AMZN,217.68,221.17,216.82,220.97,50795248
2026-03-05,GOOG,152.63,153.17,152.58,152.64,43733667
2026-03-05,MSFT,425.37,428.34,422.26,422.49,42515440
2026-03-05,SPY,520.23,525.69,519.25,523.31,59925638
2026-03-06,AAPL,176.82,180.43,176.77,179.73,34523324
2026-03-06,AMZN,220.97,221.32,218.0,218.92,21858720
2026-03-06,GOOG,152.64,154.06,152.55,153.64,25347957
2026-03-06,MSFT,422.49,443.58,421.74,441.22,56512472
2026-03-06,SPY,523.31,523.61,520.63,521.53,33956162
2026-03-09,AAPL,179.73,183.17,179.66,182.44,43163696
2026-03-09,AMZN,218.92,221.08,218.87,220.57,43061355
2026-03-09,GOOG,153.64,153.98,153.2,153.87,36294445
2026-03-09,MSFT,441.22,448.7,439.44,447.17,48139990
2026-03-09,SPY,521.53,532.74,520.62,530.79,20325128
2026-03-10,AAPL,182.44,183.53,181.94,183.31,22332049
2026-03-10,AMZN,220.57,224.66,220.33,224.31,52173043
2026-03-10,GOOG,153.87,154.11,153.77,153.99,49946858
2026-03-10,MSFT,447.17,454.75,446.13,454.62,20095712
2026-03-10,SPY,530.79,532.62,528.0,528.49,32272482
2026-03-11,AAPL,183.31,183.4,182.95,183.37,40896338
2026-03-11,AMZN,224.31,224.91,219.78,220.25,57163102
2026-03-11,GOOG,153.99,154.33,153.55,154.05,16463678
2026-03-11,MSFT,454.62,464.67,453.82,463.94,30083875
2026-03-11,SPY,528.49,534.89,526.04,531.89,23301431
2026-03-12,AAPL,183.37,183.7,179.82,180.97,39552755
2026-03-12,AMZN,220.25,220.81,217.29,218.34,35124114
2026-03-12,GOOG,154.05,154.63,153.15,153.37,36668505
2026-03-12,MSFT,463.94,467.2,460.71,466.0,56393502
2026-03-12,SPY,531.89,535.68,530.01,533.43,16178851
2026-03-13,AAPL,180.97,182.8,180.71,182.74,29353903
2026-03-13,AMZN,218.34,220.63,218.18,220.61,53314123
2026-03-13,GOOG,153.37,154.69,152.75,154.34,37121754
2026-03-13,MSFT,466.0,469.37,463.9,468.22,35359778
2026-03-13,SPY,533.43,539.48,530.6,539.25,28442650
2026-03-16,AAPL,182.74,183.08,182.34,182.54,46353172
2026-03-16,AMZN,220.61,222.96,219.84,222.67,54508844
2026-03-16,GOOG,154.34,155.08,152.54,152.8,50890159
2026-03-16,MSFT,468.22,473.14,466.37,473.13,33851645
2026-03-16,SPY,539.25,547.95,538.93,546.25,52887010
2026-03-17,AAPL,182.54,182.86,181.88,182.22,22984779
2026-03-17,AMZN,222.67,226.11,222.33,225.71,33134108
2026-03-17,GOOG,152.8,152.89,152.72,152.88,36597247
2026-03-17,MSFT,473.13,488.72,471.68,486.03,58248164
2026-03-17,SPY,546.25,547.51,545.38,546.67,35618409
2026-03-18,AAPL,182.22,186.43,181.55,185.44,49938583
2026-03-18,AMZN,225.71,226.41,223.67,224.56,58902459
2026-03-18,GOOG,152.88,153.35,148.68,149.17,53705507
2026-03-18,MSFT,486.03,488.79,485.79,487.62,59859341
2026-03-18,SPY,546.67,548.49,543.56,543.65,18627068
2026-03-19,AAPL,185.44,190.83,185.21,190.58,55614880
2026-03-19,AMZN,224.56,225.95,222.89,225.82,49416441
2026-03-19,GOOG,149.17,151.14,149.05,150.88,59399816
2026-03-19,MSFT,487.62,487.84,475.12,476.24,55412443
2026-03-19,SPY,543.65,545.96,540.76,545.92,34658281
2026-03-20,AAPL,190.58,193.23,190.04,192.93,55298545
2026-03-20,AMZN,225.82,227.53,220.32,220.36,21586829
2026-03-20,GOOG,150.88,151.97,150.72,150.73,46610923
2026-03-20,MSFT,476.24,488.92,474.66,485.18,17956888
2026-03-20,SPY,545.92,547.39,541.96,543.23,22150867
2026-03-23,AAPL,192.93,193.28,189.92,191.01,35180048
2026-03-23,AMZN,220.36,224.0,219.17,223.96,37776383
2026-03-23,GOOG,150.73,150.75,149.48,149.6,18536032
2026-03-23,MSFT,485.18,496.93,482.16,493.0,40183814
2026-03-23,SPY,543.23,553.91,542.74,552.25,48811878
2026-03-24,AAPL,191.01,193.77,190.33,193.08,48856853
2026-03-24,AMZN,223.96,224.15,218.38,218.9,24721718
2026-03-24,GOOG,149.6,150.88,149.13,150.8,46025923
2026-03-24,MSFT,493.0,493.43,489.94,490.32,57575195
2026-03-24,SPY,552.25,553.72,552.05,553.13,18103110
2026-03-25,AAPL,193.08,193.08,191.07,192.28,54946688
2026-03-25,AMZN,218.9,219.17,215.27,215.71,59768984
2026-03-25,GOOG,150.8,152.94,150.67,152.74,46791407
2026-03-25,MSFT,490.32,492.27,488.31,488.84,22026866
2026-03-25,SPY,553.13,553.3,551.45,551.79,26776755
2026-03-26,AAPL,192.28,198.4,191.5,198.03,19550520
2026-03-26,AMZN,215.71,216.08,213.75,214.02,20462322
2026-03-26,GOOG,152.74,153.57,152.19,152.36,54193610
2026-03-26,MSFT,488.84,488.97,485.66,485.7,24988747
2026-03-26,SPY,551.79,553.47,551.43,552.88,26229578
